place_name,alternate_names,admin_level_2,admin_level_1,admin_level_0,continent,notes,feature_type,ambigous_county,latitude,longitude,matched_name
Jamaica,[],,,Jamaica,,West Indies,,,18.16667,-77.25,Jamaica
Jefferson County,[],Jefferson County,Ohio,,,,,,40.38502,-80.76097,Jefferson County
Jena,[],,,Germany,,,,,50.92878,11.5899,Jena
Jenky Hall,[],,,,,Detroit,,,38.14955,-80.99482,Jenky
Johnson's Harbor,"['probably Kuckville', 'New York']",,,,,,,,39.68529,-93.92688,New York
Jongquakamik Landing,[],,Ontario,,,,,,46.89837,-84.37823,Jones Landing
Jongquakamik River,['East Sydenham'],,Ontario,,,,H,,45.2668,-75.69935,Jock River
Juniata Crossings,[],Bedford County,Pennsylvania,,,,,,39.99453,-78.26862,Juniata Crossing
Juniata River,[],,Pennsylvania,,,Tachochniato,H,,40.40092,-77.01359,Juniata River
Kanawha River,['Canhawa'],,West Virginia,,,,H,,38.83786,-82.14264,Kanawha River
Ke-kek-ton long timber,['Mohawk'],,,,,,,,33.06819,-93.18517,Mohawk
Kent,[],Litchfield County,Connecticut,,,,,,41.72482,-73.47707,Kent
Kentucky,"['Kentuk', 'Kentuke']",,Kentucky,,,,,,38.20042,-84.87762,Kentucky
Kinderhook,[],Columbia County,New York,,,,,,42.39536,-73.6979,Kinderhook
King's Island,['Grosse Ile'],,Michigan,,,,,,42.12532,-83.15826,Grosse Ile
Kingston,"['Esopa', 'Sopus']",,Ontario,,,N.Y,,,44.22976,-76.48098,Kingston
Kingston New York,['Esopus'],,,,,,,,41.82787,-73.96514,Esopus
Kitigan,[],,Ontario,,,Chippewa town,,,49.38444,-82.29889,Kitigan
Kittannuk,[],,Pennsylvania,,,Kittanning,,,40.81645,-79.52199,Kittanning
Kittatinny Hills,['Blue Mountains'],,Pennsylvania,,,,T,,40.02481,-77.83833,Kittatinny Mountain
Konigsfeld,[],,,Germany,,,,,51.06667,12.75,Konigsfeld
Ktukquiminschi,['Black Walnut'],,Pennsylvania,,,Erie | town near Presqu'isle,,,41.61424,-76.11743,Black Walnut
Kui-lu-ta-men,['Delaware'],,,,,Place of surprise,,,42.91679,-81.41646,Delaware
Labrador,[],,,,,Terra,,,47.09778,-77.5275,Lac Labrador
Lac,['also Long Lake'],,New York,,,Poponming Pond Monroe County,,,43.31404,-74.71794,Long Lake
Lackawanna River,[],,Pennsylvania,,,,H,,41.34147,-75.79269,Lackawanna River
Lake,['Poponoming'],,,,,,,,44.71683,-77.74949,Lake
Lake Erie,"['Lake', 'Lack', 'Lac']",,,,,,,,42.2501,-80.99973,Lake Erie
Lake George,[],Warren County,New York,,,,,,43.60192,-73.57946,Lake George
Lake Huron,[],,,,,,,,44.64083,-81.76806,Lake Huron
Lake Michigan,[],,,,,,,,44.00778,-86.75698,Lake Michigan
Lake Ontario,['Dundas'],,,,,,,,43.75012,-77.99951,Lake Ontario
Lake St. Clair,['Sinclair'],,,,,,,,45.41681,-79.06631,Sinclair
Lake Superior,[],,,,,,,,48.33222,-87.09861,Lake Superior
Lancaster,[],,Pennsylvania,,,Pennsylvania? | Massachusetts? & Moravian place,,,40.03788,-76.30551,Lancaster
Lancaster,[],Fairfield County,Ohio,,,,,,39.71368,-82.59933,Lancaster
Lancaster County,[],Lancaster County,Pennsylvania,,,,,,40.04244,-76.2477,Lancaster County
Laramie Creek,[],Shelby County,Ohio,,,,H,,40.18894,-84.24217,Loramie Creek
Laurel Hill,[],,Pennsylvania,,,Westmoreland and Somerset County,T,,40.69093,-75.53713,Laurel Hill
Leek Island,[],,,,,Delaware River,,,45.2168,-80.13298,Leek Island
Lees Creek,[],,Ohio,,,Fayette and Highland County,H,,39.33729,-83.49131,Lees Creek
Leh-cha-week,['Delaware'],,,,,,,,42.91679,-81.41646,Delaware
Leh-cha-wi-tank,['Delaware'],,,,,,,,42.91679,-81.41646,Delaware
Leh-oha-wa-hen-neek,['Delaware'],,,,,the Forks,,,42.91679,-81.41646,Delaware
Lehigh River,['Lecha'],,Pennsylvania,,,,H,,40.68899,-75.20434,Lehigh River
Leipzig,[],,,Germany,,,,,51.33962,12.37129,Leipzig
Licking,['Zanesville'],Muskingum County,Ohio,,,,,,39.94035,-82.01319,Zanesville
Ligonier,[],,Pennsylvania,,,,,,40.24313,-79.23753,Ligonier
Limestone,[],Mason County,Kentucky,,,Maysville,,,38.64757,-83.76048,Limestone Creek
Litchfield,[],Litchfield County,Connecticut,,,,,,41.74732,-73.18872,Litchfield
Lititz,[],,Pennsylvania,,,Moravian Center,,,40.15732,-76.3069,Lititz
Little Beaver Creek,[],,Ohio,,,,H,,38.84591,-82.3896,Little Beaver Creek
