place_name,alternate_names,admin_level_2,admin_level_1,admin_level_0,continent,notes
Geneseo,"['Zoneschio', 'Zonesschio']",Livingston County,New York,,,
Genessie River,['Chenessie'],,New York,,,near Rochester
Geneva,[],Ontario County,New York,,,
Georgetown,[],,,,,District of Columbia
Georgetown,[],Beaver County,Pennsylvania,,,
Georgetown Road,[],,,,,
Georgia,[],,Georgia,,,
Germantown,[],,Pennsylvania,,,
Germantown,[],Montgomery County,,,,Pennsylvania
Germany,[],,,Germany,,
Getgatain,[],,,,,
Gigeijunk,['Maumee'],,Indiana,,,Fort Wayne | town at the Forks of Miami River
Gigeyjunk,[],,Indiana,,,Fort Wayne
Gigeyunk,['Fort Wayne'],,,,,
Gigeyunk Fort Wayne,['Kikeyunk'],,Indiana,,,
Ginhanschicanunk,[],,,,,
Glade Country,[],,Pennsylvania,,,
Glades Road,[],,Pennsylvania,,,
Glass House,['?'],,,,,Highlands New York
Gnadenfroi,[],,,Germany,,
Gnadenhuegel,[],,,,,part of Gnadenhutten settlement
Gnadenhutten,['White settlement'],Tuscarawas County,Ohio,,,
Gnadenhutten,['Old Gnadenhutten'],,Pennsylvania,,,Mahony & Lehigh River | on Mahony Creek
Gnadenhutten,['M.'],,Ohio,,,on Muskingum River
Gnadenhutten,[],,Michigan,,,River | or Clinton | on Huron
Gnadensee,[],,Connecticut,,,County | Litchfield | Wechquatnach Lake | Indian Pond
Gnadenth also,[],,,,,
Gnadenthal,[],,Pennsylvania,,,near Nazareth & Nazareth | modern Gracedale
Gnadenwinkel,[],,,,,on Gnadenhutten tract
Gokhosing,[],,,,,place in Ohio
Goschachging,[],,,,,
Goschachgunk,"['Goschachking', 'Goschaching', 'Coschachkung']",,Ohio,,,Coshocton & Coshocton | Delaware Town on Muskingum River
Goschgosching,[],,,,,
Goschgoschunk,[],,,,,
Goschgoschunk,"['Coschkoschingk', 'Coschcoschingk', 'Kuschkusching']",Venango County,Pennsylvania,,,Munsee Town on Allegheny River
Goschgoschunk on Allegheny River,['Coschcoshing'],,Pennsylvania,,,
Goschschossunk,[],,,,,place in Ohio | Goschschossink
Goshen,[],,New York,,,
Gothenburg,[],,,Sweden,,
Grace Half,['Fulneck'],,,,,England | Yorkshire
Graceham,[],,Maryland,,,
Gracehill,['Gnadenhugel'],,,Ireland,,
Grand River,[],,Ohio,,,
Grand River,['Schwago'],,Ontario,,,
Grand River,[],,Ohio,,,Cuyahoga River
Granville,[],Licking County,Ohio,,,
Great Beaver Creek,[],,,,,
Great Creek,"['Ohio River', 'Lehigh River']",,,,,
Great Island,[],,Ohio,,,above Marietta | at mouth of Muskingum River
Great Island,[],Clinton County,Pennsylvania,,,in West Branch Susquehanna River & below Lock Haven | West Branch Susquehanna
Great Island,[],,,,,
Great Lake,[],Dutchess County,New York,,,
Great Lakes,"['Laks', 'Lacks']",,,,,
Great Miami,[],,Ohio,,,
Great Miami River,[],,,,,
Great Nine Partners Tract,[],Dutchess County,New York,,,
Great Shawnee Town,[],,,,,
Great Swamp,[],Monroe County,Pennsylvania,,,
Green Bay,[],,Wisconsin,,,
Green County,[],Green County,Pennsylvania,,,
Greenland,[],,,Greenland,,
Greensburg,[],Westmoreland County,Pennsylvania,,,
Greentown,[],,Ohio,,,near Mansfield | Sambesink | Penexit's Town | also Armstrong's Town
Greenville,[],Darke County,Ohio,,,
Greenwich,[],,Connecticut,,,County | Fairfield
Greenwich,[],Washington County,New York,,,
Grosse Isle,[],,Michigan,,,Detroit River
Guernsey County,[],Guernsey County,Ohio,,,
Guinea,[],,,Guinea,,West Africa
Gulf of Lawrence,[],,,,,
Hackientachous Creek,['modern Hokendaugua Creek'],,Pennsylvania,,,County | Northampton | also Wilson's Creek
Hagerstown,[],,Maryland,,,
