place_name,alternate_names,admin_level_2,admin_level_1,admin_level_0,continent,notes,feature_type
Dansville,['Danville'],Livingston County,New York,,,,
Danzig,[],,,Germany,,,
Dartmouth College,[],,,,,,
Dartmouth College,[],Hanover,New Hampshire,,,,
Dauphin County,['Dauphiny'],Dauphin County,Pennsylvania,,,,
Davall Academy,[],,,,,England,
DeTrenche,[],,,,,,
Deep River,[],,Ohio,,,Chitquou,H
Deer Creek,[],Pickaway County,Ohio,,,,H
Delaware River,[],,,,,Water Gap,H
Delaware River Valley,[],,,,,,T
Delaware Town,[],,Indiana,,,Upper Sandusky & White River,
Delaware Township,[],,Ontario,,,Thames River,
Denmark,[],,,Denmark,,,
Derby,[],New Haven County,Connecticut,,,,
Detroit,[],,Michigan,,,City and Fort,
Detroit River,[],,,,,,H
Detroit River Island,[],,,,,,H
Deykert's Place,[],,,,,,
Diaugu,[],,,,,Diaoju,
Dickenson College,[],,Pennsylvania,,,Carlisle,
Double Eagle,['Doppeladler'],Schuylkill County,Pennsylvania,,,Klinglerstown,
Dover,[],Dutchess County,New York,,,,
Dry Ridge,[],,Pennsylvania,,,,
Dublin,[],,,Ireland,,,
Duncan's Falls,[],Muskingum County,Ohio,,,,H
Dundas,[],,Ontario,,,,
Dungannon,[],,Ontario,,,,
Dutchess County,[],Dutchess County,New York,,,,
East Indies,[],,,,,,
East Jersey,[],,,,,,
Easton,[],,Pennsylvania,,,,
Echpalawehund's Town,[],,Ohio,,,Delaware Settlement,
Echquitehanok,[],,,,,,
Elisabeth Point,[],,New Jersey,,,,S
Elizabeth,['Elizabeth Point'],,New Jersey,,,,
Elizabeth Point,[],,New Jersey,,,,S
Elizabethtown,[],Lancaster County,Pennsylvania,,,,
Emmaus,[],,Pennsylvania,,,,
England,[],,,,,,
Ephrata,[],Lancaster County,Pennsylvania,,,,
Eschebeke,[],,,,,possibliy Nescopeek,
Eskenne River,['Hern'],,,,,,H
Esopus,[],Ulster County,New York,,,Sopus & Kingston & Kingston & Kingston | Sopus,
Esopus New York,['Sopus'],,,,,,
Europe,[],,,,Europe,,
Eva Creek,['Shamokin'],Northumberland County,Pennsylvania,,,Augusta Township,H
Eva Creek,[],,,,,,H
Fairfield,['Old Fairfield'],,Connecticut,,,,
Falls of the Ohio,[],,,,,,H
Fannetsburg,[],Franklin County,Pennsylvania,,,,
Farmington,"['Firmingtown', 'Vermonthaun']",Hartford County,Connecticut,,,,
Fatter Lane,[],,,,,London,
Fayette County,[],Fayette County,Pennsylvania,,,,
Ferry House,[],,,,,Thames River,
Feuerlein,['possibliy Fire line'],,,,,,
Fighting Island,[],,,,,below Detroit,
Filkentown,[],Dutchess County,New York,,,,
Firelands,[],,Ohio,,,Erie and Huron County,
Fish Kill,[],,Pennsylvania,,,probably Northampton County,
Fish Kill,[],Dutchess County,New York,,,,
Fish-Kill,[],Dutchess County,New York,,,,
Forks of the Delaware,[],Northampton County,Pennsylvania,,,,
Forks of the Delaware,[],,,,,,
Forks of the Road,[],,,,,,
Fort Adams,['also Fort St. Marys'],Mercer County,Ohio,,,,
Fort Allen,[],Carbon County,Pennsylvania,,,modern Weissport & Allentown,
Fort Carteret,[],,,,,,
Fort Charter,['properly Charters'],,,,,,
Fort Cumberland,[],,Maryland,,,,
Fort Defiance,[],Defiance County,Ohio,,,Maumee River,
Fort Detroit,[],,,,,,
Fort Edward,[],Washington County,New York,,,,
Fort Erie,[],,Ontario,,,,
Fort Hamilton,[],,,,,,
Fort Harmer,[],,Ohio,,,mouth of Muskingum River,
Fort Herkemen,[],,New York,,,Herkimer,
Fort Hunter,[],,New York,,,,
Fort Kanawha,['Canhawa'],,,,,,
Fort Laurena,[],,,,,,
Fort Laurens,"['Laurence', 'Lawrence']",,Ohio,,,near Bolivar,
Fort Ligonier,[],,,,,,
Fort Littleton,[],,Pennsylvania,,,Futon County,
Fort Loudoun,[],Franklin County,Pennsylvania,,,,
Fort Malden,[],,Ontario,,,,
Fort McIntosh,[],,,,,Ohio River at Beaver Creak,
Fort McIntosh,[],Beaver County,Pennsylvania,,,,
Fort McIntosh,[],,,,,Ohio River,
Fort Meigs,[],,Ohio,,,Weed County | Maumee River rapids,
Fort Miami,[],,Ohio,,,Weed County | Maumee River rapids,
Fort Niagara,[],Niagara County,New York,,,near Youngstown,
Fort Norris,[],Monroe County,Pennsylvania,,,,
Fort Ontario,[],,New York,,,Oswego,
Fort Oswego,[],,New York,,,,
Fort Pitt,[],,,,,,
Fort Plain,[],,New York,,,,
Fort Schlosser,['Slosser'],Niagara County,New York,,,,
Fort Schlosser,[],,,,,,
Fort Schuyler,"['Skulker', 'Skuyler']",,New York,,,Utica,
Fort Stanwix,[],,New York,,,Rome & original name of Fort Schuyler,
Fort Wabash,"['Vincennes', 'Indiana']",,,,,,
Fort Wayne,[],,Indiana,,,Kikeyuak | also Gigeyunk,
Forty Mile Creek,[],,,,,,H
Four Brothers,['Vier Bruder'],,,,,,
Four Mile Creek,[],Butler County,Ohio,,,,H
France,[],,,France,,,
Franckfurth,['Frankford'],Philadelphia County,Pennsylvania,,,,
Frederickstown,['Friedrickstown'],Montgomery County,Pennsylvania,,,,
Fredrickstown,[],,,,,,
Freehold,[],,New York,,,Greens County,
Freehold,[],Monmouth County,New Jersey,,,,
Frenchtown,[],,Pennsylvania,,,,
Friedenshutten,[],,Pennsylvania,,,Bethlehem & Wyalusing | on Susquehanna,
Friedensth also,[],,,,,,
Friedensthal,[],,Pennsylvania,,,near Nazareth,
