person,years,factoid_lons,factoid_lats
Post.,"['1750', '1746', '1743', '1743', '1743', '1743', '1744', '1744', '1759', '1754', '1746', '1745', '1745', '1759', '1745', '1746', '1745', '1745', '1745']","['-78.73031', '-73.59901', '-78.73031', '-73.59901', '-73.91264', '-78.73031', '-78.73031', '-78.73031', '-105.40102', '-86.98636', '-73.59901', '-73.59901', '-73.59901', '-72.83204', '-78.73031', '-73.91264', '-73.91264', '-73.59901', '-75.30962']","['40.86173', '41.92815', '40.86173', '41.92815', '41.92676', '40.86173', '40.86173', '40.86173', '53.05006', '45.27262', '41.92815', '41.92815', '41.92815', '41.71982', '40.86173', '41.92676', '41.92676', '41.92815', '40.74038']"
"Powell, Joseph.","['1755', '1755', '1755', '1757', '1756', '1748', '1754', '1755', '1755', '1755', '1748', '1748', '1748', '1747']","['-78.73031', '-78.73031', '-105.63666', '-81.43428', '-81.43428', '-76.55885', '-81.43428', '-81.43428', '-81.43428', '-81.43428', '-78.73031', '-78.73031', '-76.55885', '-76.55885']","['40.86173', '40.86173', '41.47747', '40.3584', '40.3584', '40.78897', '40.3584', '40.3584', '40.3584', '40.3584', '40.86173', '40.86173', '40.78897', '40.78897']"
"Powell, Martha, w. Samuel Powell.","['1747', '1747']","['-81.43428', '-78.73031']","['40.3584', '40.86173']"
"Powell, Martha, wid. Samuel Powell; Philadelphia, Pa.",['1763'],['-75.22907'],['39.88539']
"Powell, Samuel.","['1747', '1747', '1747', '1747', '1747', '1747', '1747', '1747', '1748', '1748', '1748', '1747', '1747', '1747']","['-81.43428', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-81.43428', '-76.55885', '-81.43428', '-78.73031', '-81.43428', '-78.73031', '-81.43428']","['40.3584', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.3584', '40.78897', '40.3584', '40.86173', '40.3584', '40.86173', '40.3584']"
"Powell, judge; York, Ontario.",['1811'],['-73.26373'],['41.14121']
"Prector, Henry, British general.",['1813'],['-73.26373'],['41.14121']
"Prector, Henry, British major general.",['1813'],['-73.26373'],['41.14121']
"Preiss, George, son of George and Nelly Preiss.",['1806'],['-73.26373'],['41.14121']
"Presser, Martin.","['1753', '1753', '1754', '1754', '1755', '1755', '1755']","['-78.73031', '-78.73031', '-78.73031', '-78.73031', '-75.99689', '-81.43428', '-78.73031']","['40.86173', '40.86173', '40.86173', '40.86173', '39.95483', '40.3584', '40.86173']"
"Pressor, Martin; Christiansbrunn.","['1752', '1752', '1752', '1752', '1752']","['-81.43428', '-78.73031', '-78.73031', '-78.73031', '-78.73031']","['40.3584', '40.86173', '40.86173', '40.86173', '40.86173']"
Price; Philadelphia.,['1803'],['-74.32432'],['41.40204']
"Pringle, teacher; Sandwich.",['1812'],['-73.26373'],['41.14121']
"Proske, John George.","['1819', '1819']","['-74.32432', '-81.5654']","['41.40204', '39.73618']"
Proske.,"['1820', '1821', '1821']","['-74.32432', '-81.43428', '-74.32432']","['41.40204', '40.3584', '41.40204']"
"Pyrlaeus, Johann Christoph.","['1748', '1748', '1748', '1748', '1748', '1748', '1748', '1748', '1748', '1748', '1748', '1748', '1748', '1748', '1751', '1748', '1748', '1747', '1743', '1742', '1747', '1747', '1747']","['-78.73031', '-78.73031', '-78.73031', '-81.43428', '-81.43428', '-81.43428', '-78.73031', '-78.73031', '-81.43428', '-81.43428', '-78.73031', '-81.43428', '-78.73031', '-81.43428', '-81.43428', '-78.73031', '-78.73031', '-78.73031', '-73.59901', '-75.16362', '-78.73031', '-81.43428', '-78.73031']","['40.86173', '40.86173', '40.86173', '40.3584', '40.3584', '40.3584', '40.86173', '40.86173', '40.3584', '40.3584', '40.86173', '40.3584', '40.86173', '40.3584', '40.3584', '40.86173', '40.86173', '40.86173', '41.92815', '39.95238', '40.86173', '40.3584', '40.86173']"
"Pyrlaeus, Johann.","['1743', '1743']","['-72.66648', '-73.40845']","['41.66704', '41.57704']"
"Pyrlaeus, Susanna, m. n. Benezet, w. J.C. Pyrlaeus.",['1747'],['-81.43428'],['40.3584']
"Ramsberg, Anna.","['1753', '1753', '1755']","['-81.43428', '-78.73031', '-81.43428']","['40.3584', '40.86173', '40.3584']"
"Ramsberg, Anna; Bethlehem.",['1752'],['-81.43428'],['40.3584']
"Rank, (""Ranke""), Philipp.",['1800'],['-74.32432'],['41.40204']
"Ranke, Michael.","['1750', '1749', '1749']","['-78.73031', '-81.43428', '-78.73031']","['40.86173', '40.3584', '40.86173']"
"Rauch, Anna Elizabeth, m. n. Robins, w. Christian Heinrich Rauch.","['1747', '1747']","['-81.43428', '-81.43428']","['40.3584', '40.3584']"
"Rauch, Anna Elizabeth, m. n. Robins, w. of Chr. H. Rauch.",['1744'],['-73.91264'],['41.92676']
"Rauch, Anna.","['1749', '1749', '1750', '1754', '1748', '1748', '1754', '1748', '1748', '1748', '1747']","['-81.43428', '-81.43428', '-81.43428', '-81.43428', '-78.73031', '-81.43428', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-81.43428']","['40.3584', '40.3584', '40.3584', '40.3584', '40.86173', '40.3584', '40.86173', '40.86173', '40.86173', '40.86173', '40.3584']"
"Rauch, Chr, H.",['1742'],['-78.73031'],['40.86173']
"Rauch, Chr. H.","['1746', '1744', '1744', '1744', '1744', '1744', '1744', '1744', '1744', '1742', '1742', '1742', '1745', '1754', '1746', '1746', '1746', '1743', '1743', '1743', '1754', '1743', '1743', '1744', '1743', '1743', '1743', '1743', '1744', '1745', '1745', '1745', '1745', '1742', '1742', '1742', '1742', '1745', '1743']","['-73.59901', '-74.04986', '-74.04986', '-74.04986', '-74.04986', '-73.59901', '-74.04986', '-74.04986', '-74.04986', '-78.73031', '-78.73031', '-73.59901', '-73.59901', '-78.73031', '-73.59901', '-73.59901', '-73.59901', '-74.04986', '-74.04986', '-73.59901', '-81.43428', '-73.59901', '-78.73031', '-73.92097', '-74.04986', '-74.04986', '-74.04986', '-74.04986', '-73.59901', '-73.59901', '-73.74286', '-73.59901', '-73.91264', '-73.59901', '-73.59901', '-73.91264', '-78.73031', '-73.59901', '-73.59901']","['41.92815', '42.35925', '42.35925', '42.35925', '42.35925', '41.92815', '42.35925', '42.35925', '42.35925', '40.86173', '40.86173', '41.92815', '41.92815', '40.86173', '41.92815', '41.92815', '41.92815', '42.35925', '42.35925', '41.92815', '40.3584', '41.92815', '40.86173', '41.70037', '42.35925', '42.35925', '42.35925', '42.35925', '41.92815', '41.92815', '41.76515', '41.92815', '41.92676', '41.92815', '41.92815', '41.92676', '40.86173', '41.92815', '41.92815']"
