person,years,factoid_lons,factoid_lats
"Scheffler (Schaeffler), Johahnes; Bethlehem.",['1750'],['-78.73031'],['40.86173']
Schemmel; North Carolina.,['1803'],['-74.32432'],['41.40204']
"Schindler, George; Bethlehem.",['1800'],['-78.73031'],['40.86173']
"Schlegel, Friedrich; Nazareth.",['1753'],['-81.43428'],['40.3584']
Schlingoleff; Baltimore.,['1819'],['-74.32432'],['41.40204']
"Schmick, Anna Johanna, d. Joh. Jac. and Johanna (Heid), Schmick.",['1754'],['-78.73031'],['40.86173']
"Schmick, Johann J., Jr.","['1798', '1798', '1798']","['-78.73031', '-81.43428', '-74.32432']","['40.86173', '40.3584', '41.40204']"
"Schmick, Johann Jacob, Jr.; Nazareth.","['1798', '1798']","['-74.32432', '-75.30962']","['41.40204', '40.74038']"
"Schmick, Johann Jacob, h. of Johanna, m. n. Heid, Moravian missionary.","['1773', '1773', '1773', '1777', '1774', '1780', '1777', '1777', '1777', '1773', '1773']","['-81.43428', '-76.40302', '-81.43428', '-78.73031', '-81.43428', '-81.43428', '-76.40302', '-81.43428', '-81.43428', '-78.73031', '-81.43428']","['40.3584', '39.94677', '40.3584', '40.86173', '40.3584', '40.3584', '39.94677', '40.3584', '40.3584', '40.86173', '40.3584']"
"Schmick, Johann Jacob.","['1763', '1763', '1764', '1764', '1751', '1751', '1752', '1763', '1763', '1763', '1760', '1754', '1770', '1753', '1753', '1764', '1764', '1764', '1752', '1752', '1752', '1752', '1752', '1752', '1753', '1753', '1752', '1754', '1753', '1753', '1753', '1769', '1769', '1755', '1755', '1755', '1753', '1754', '1753', '1752', '1752', '1754', '1754', '1753', '1753', '1753', '1753']","['-75.22907', '-75.16362', '-75.16362', '-75.22907', '-81.43428', '-81.43428', '-78.73031', '-75.16362', '-75.16362', '-75.22907', '-88.67617', '-78.73031', '-93.16911', '-78.73031', '-81.43428', '-78.73031', '-75.16362', '-75.16362', '-78.73031', '-86.98636', '-78.73031', '-78.73031', '-75.92687', '-78.73031', '-78.73031', '-78.73031', '-76.00492', '-78.73031', '-78.73031', '-76.13161', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-105.63666', '-75.92687', '-78.73031', '-81.43428', '-81.43428', '-78.73031', '-75.16362', '-78.73031', '-81.43428', '-78.73031', '-81.43428', '-78.73031', '-78.73031']","['39.88539', '39.95238', '39.95238', '39.88539', '40.3584', '40.3584', '40.86173', '39.95238', '39.95238', '39.88539', '37.70894', '40.86173', '45.03913', '40.86173', '40.3584', '40.86173', '39.95238', '39.95238', '40.86173', '45.27262', '40.86173', '40.86173', '40.33565', '40.86173', '40.86173', '40.86173', '41.20536', '40.86173', '40.86173', '40.36093', '40.86173', '40.86173', '40.86173', '40.86173', '41.47747', '40.33565', '40.86173', '40.3584', '40.3584', '40.86173', '39.95238', '40.86173', '40.3584', '40.86173', '40.3584', '40.86173', '40.86173']"
"Schmick, Johanna Maria, d. Johann Jacob and Johanna (Heid), Schmick.","['1763', '1764']","['-75.22907', '-75.16362']","['39.88539', '39.95238']"
"Schmick, Johanna.","['1753', '1753', '1753', '1753', '1768', '1771']","['-78.73031', '-78.73031', '-81.43428', '-78.73031', '-78.73031', '-78.73031']","['40.86173', '40.86173', '40.3584', '40.86173', '40.86173', '40.86173']"
"Schmick, William; Lititz, grandson of Johann Jacob Schmick.",['1819'],['-74.32432'],['41.40204']
"Schmidt, Anna Catharina.","['1749', '1755']","['-78.73031', '-78.73031']","['40.86173', '40.86173']"
"Schmidt, Anton.","['1755', '1755', '1747', '1749', '1749', '1749', '1748', '1748', '1755', '1754', '1752', '1755', '1755', '1755', '1755', '1755', '1755']","['-81.43428', '-78.73031', '-76.55885', '-81.43428', '-78.73031', '-76.55885', '-76.55885', '-76.55885', '-76.55885', '-76.55885', '-81.43428', '-78.73031', '-81.43428', '-78.73031', '-76.55885', '-81.43428', '-78.73031']","['40.3584', '40.86173', '40.78897', '40.3584', '40.86173', '40.78897', '40.78897', '40.78897', '40.78897', '40.78897', '40.3584', '40.86173', '40.3584', '40.86173', '40.78897', '40.3584', '40.86173']"
"Schmidt, Handeis.",['1746'],['-78.73031'],['40.86173']
"Schmidt, Johann Michael, M.D.","['1755', '1755']","['-81.43428', '-81.43428']","['40.3584', '40.3584']"
"Schmidt, Johann Renatus.","['1815', '1819']","['-84.97246', '-74.32432']","['39.50699', '41.40204']"
"Schmidt, William; Lancaster, Pa.",['1769'],['-76.26188'],['41.66813']
"Schnall, Anna Lisette, d. Johannes and Margareta (Hasting), Schnall.","['1806', '1806']","['-73.26373', '-73.26373']","['41.14121', '41.14121']"
"Schnall, Anna Lisette.",['1809'],['-73.26373'],['41.14121']
"Schnall, Carolina, d. Johannes and Margareta (Hastings), Schnall.",['1805'],['-73.26373'],['41.14121']
"Schnall, Carolina.","['1809', '1809']","['-78.73031', '-73.26373']","['40.86173', '41.14121']"
"Schnall, Johanna Carolina, d. Johannes and Margaretha Schnall.",['1801'],['-73.26373'],['41.14121']
"Schnall, Johannes, missionary.","['1801', '1801', '1801', '1801', '1801', '1801', '1802', '1802', '1801', '1801', '1802', '1802', '1804', '1806', '1805', '1803', '1803', '1805', '1804', '1809', '1809', '1804', '1809', '1809', '1809', '1809']","['-73.26373', '-78.73031', '-73.26373', '-78.73031', '-73.26373', '-76.82644', '-73.26373', '-73.26373', '-73.26373', '-73.26373', '-78.73031', '-75.30962', '-76.82644', '-73.26373', '-83.04985', '-82.54906', '-73.26373', '-75.69935', '-75.69935', '-73.26373', '-73.26373', '-73.26373', '-78.73031', '-73.26373', '-78.93286', '-78.93286']","['41.14121', '40.86173', '41.14121', '40.86173', '41.14121', '44.49736', '41.14121', '41.14121', '41.14121', '41.14121', '40.86173', '40.74038', '44.49736', '41.14121', '42.08339', '41.3981', '41.14121', '45.2668', '45.2668', '41.14121', '41.14121', '41.14121', '40.86173', '41.14121', '42.90012', '42.90012']"
"Schnall, Johannes.","['1803', '1803', '1803', '1803', '1803', '1805', '1802', '1803', '1801', '1801', '1807', '1813', '1813', '1804', '1803', '1813', '1813', '1813', '1805']","['-74.32432', '-75.78382', '-81.43428', '-81.43428', '-75.78382', '-73.26373', '-74.32432', '-74.32432', '-73.26373', '-93.16911', '-88.03679', '-76.3069', '-78.73031', '-75.69935', '-73.26373', '-78.73031', '-73.26373', '-73.26373', '-88.03679']","['41.40204', '40.1651', '40.3584', '40.3584', '40.1651', '41.14121', '41.40204', '41.40204', '41.14121', '45.03913', '46.90992', '40.15732', '40.86173', '45.2668', '41.14121', '40.86173', '41.14121', '41.14121', '46.90992']"
"Schnall, Lisette.",['1802'],['-78.73031'],['40.86173']
"Schnall, Margaretha, m. n. Hasting, w. Johannes Schnall.",['1801'],['-73.26373'],['41.14121']
"Schnall, Margaretha.","['1809', '1805']","['-73.26373', '-73.26373']","['41.14121', '41.14121']"
Schnall.,"['1803', '1803', '1819', '1803', '1803']","['-73.26373', '-79.48201', '-74.32432', '-82.54906', '-73.26373']","['41.14121', '44.05502', '41.40204', '41.3981', '41.14121']"
"Schneider, Abraham.",['1818'],['-81.44567'],['40.48979']
"Schneider, Cornelius; North Carolina.",['1803'],['-74.32432'],['41.40204']
"Schneider, Paul, Bethlehem.",['1753'],['-81.43428'],['40.3584']
"Schneider, Peter; New River, Virginia.",['1799'],['-86.52774'],['31.24073']
"Schnell, Leonhard; Bethlehem.","['1747', '1747', '1750']","['-81.43428', '-78.73031', '-81.43428']","['40.3584', '40.86173', '40.3584']"
"Schober, Andreas; Bethlehem.","['1747', '1747', '1747']","['-78.73031', '-78.73031', '-81.43428']","['40.86173', '40.86173', '40.3584']"
"Schoute, Andreas.","['1751', '1754']","['-81.43428', '-81.43428']","['40.3584', '40.3584']"
"Schropp, Matthaeus.","['1755', '1755']","['-81.43428', '-81.43428']","['40.3584', '40.3584']"
"Schropp, Matthaeus; Bethlehem.",['1755'],['-81.43428'],['40.3584']
"Schur, Johannes, missionary.","['1748', '1748']","['-81.43428', '-78.73031']","['40.3584', '40.86173']"
"Schwartz, Gottfried; Christiansbrunn.","['1753', '1753', '1753']","['-76.55885', '-76.55885', '-81.43428']","['40.78897', '40.78897', '40.3584']"
"Schweigert, Georg.","['1754', '1755']","['-81.43428', '-78.73031']","['40.3584', '40.86173']"
"Schweigert, Georg; Bethlehem.","['1752', '1753']","['-81.43428', '-81.43428']","['40.3584', '40.3584']"
"Schweinitz, Friedrich Christian von.",['1801'],['-73.26373'],['41.14121']
"Schweinitz, Lewis David von; Salem.",['1818'],['-91.96903'],['34.54426']
"Schweisshaupt, Johann; Bethlehem.",['1753'],['-81.43428'],['40.3584']
"Scovall, James.",['1798'],['-75.88131'],['41.24591']
"Scull, Edward, surveyor.",['1747'],['-81.43428'],['40.3584']
"Scull, James, surveyor.",['1754'],['-81.43428'],['40.3584']
"Scull, Nicholas, surveyor.","['1751', '1755']","['-81.43428', '-81.43428']","['40.3584', '40.3584']"
"Seidel, Christian.","['1754', '1755', '1755', '1753', '1753', '1755', '1755', '1755', '1755', '1755', '1755', '1755', '1754', '1754', '1755', '1755', '1755', '1753', '1753', '1755', '1755', '1755', '1755', '1755', '1755', '1755', '1755', '1755', '1754', '1752', '1752', '1753', '1754', '1754', '1755', '1754', '1755', '1751', '1752', '1752', '1752']","['-78.73031', '-81.43428', '-105.63666', '-81.43428', '-81.43428', '-75.99689', '-76.55885', '-105.63666', '-76.55885', '-105.63666', '-73.42123', '-78.73031', '-81.43428', '-78.73031', '-81.43428', '-81.43428', '-105.63666', '-81.43428', '-81.43428', '-76.55885', '-81.43428', '-74.2107', '-105.63666', '-105.63666', '-81.43428', '-78.73031', '-78.73031', '-78.73031', '-81.43428', '-81.43428', '-105.63666', '-81.43428', '-81.43428', '-81.43428', '-105.63666', '-81.43428', '-78.73031', '-81.43428', '-81.43428', '-81.43428', '-81.43428']","['40.86173', '40.3584', '41.47747', '40.3584', '40.3584', '39.95483', '40.78897', '41.47747', '40.78897', '41.47747', '41.98343', '40.86173', '40.3584', '40.86173', '40.3584', '40.3584', '41.47747', '40.3584', '40.3584', '40.78897', '40.3584', '40.66399', '41.47747', '41.47747', '40.3584', '40.86173', '40.86173', '40.86173', '40.3584', '40.3584', '41.47747', '40.3584', '40.3584', '40.3584', '41.47747', '40.3584', '40.86173', '40.3584', '40.3584', '40.3584', '40.3584']"
"Seidel, Nathanael.","['1770', '1770', '1746', '1746', '1765', '1748', '1748', '1748', '1747', '1747', '1747', '1747', '1747', '1747', '1745', '1747', '1747', '1752', '1752', '1752', '1752', '1752', '1810', '1752', '1752', '1755', '1755', '1782', '1750', '1750', '1750', '1750', '1750', '1750', '1750', '1756', '1757', '1743', '1743', '1763', '1761', '1754', '1754', '1751', '1752', '1752', '1752', '1745', '1753', '1752', '1752', '1752', '1752', '1754', '1754', '1751', '1751', '1751', '1745', '1753', '1748', '1754', '1754', '1749', '1749', '1749', '1749', '1749', '1749', '1753', '1753', '1753', '1754', '1754', '1755', '1754']","['-86.98636', '-86.98636', '-73.59901', '-73.59901', '-78.73031', '-76.55885', '-81.43428', '-81.43428', '-78.73031', '-78.73031', '-81.43428', '-81.43428', '-78.73031', '-81.43428', '-78.73031', '-78.73031', '-81.43428', '-76.00492', '-81.43428', '-78.73031', '-81.43428', '-78.73031', '-75.61602', '-76.55885', '-78.73031', '-81.43428', '-78.73031', '-75.16362', '-81.43428', '-78.73031', '-86.98636', '-105.40102', '-89.12368', '-81.43428', '-81.43428', '-78.73031', '-57.95', '-73.59901', '-78.73031', '-75.16362', '-86.98636', '-80.00032', '-81.43428', '-81.43428', '-81.43428', '-81.43428', '-81.43428', '-73.59901', '-73.42123', '-78.73031', '-81.43428', '-78.73031', '-78.73031', '-75.16362', '-80.00032', '-78.73031', '-81.43428', '-81.43428', '-73.59901', '-81.43428', '-76.55885', '-80.00032', '-81.43428', '-81.43428', '-78.73031', '-81.43428', '-78.73031', '-105.40102', '-81.43428', '-81.43428', '-73.74286', '-86.98636', '-78.73031', '-81.43428', '-81.43428', '-81.43428']","['45.27262', '45.27262', '41.92815', '41.92815', '40.86173', '40.78897', '40.3584', '40.3584', '40.86173', '40.86173', '40.3584', '40.3584', '40.86173', '40.3584', '40.86173', '40.86173', '40.3584', '41.20536', '40.3584', '40.86173', '40.3584', '40.86173', '40.73454', '40.78897', '40.86173', '40.3584', '40.86173', '39.95238', '40.3584', '40.86173', '45.27262', '53.05006', '37.13838', '40.3584', '40.3584', '40.86173', '5.45', '41.92815', '40.86173', '39.95238', '45.27262', '35.50069', '40.3584', '40.3584', '40.3584', '40.3584', '40.3584', '41.92815', '41.98343', '40.86173', '40.3584', '40.86173', '40.86173', '39.95238', '35.50069', '40.86173', '40.3584', '40.3584', '41.92815', '40.3584', '40.78897', '35.50069', '40.3584', '40.3584', '40.86173', '40.3584', '40.86173', '53.05006', '40.3584', '40.3584', '41.76515', '45.27262', '40.86173', '40.3584', '40.3584', '40.3584']"
"Seiffert, (""Seyffert""), Johannes; Bethlehem.","['1753', '1753']","['-78.73031', '-78.73031']","['40.86173', '40.86173']"
"Seiffert, Anna, m. n. Liebisch, w. of Anton Seiffert.",['1743'],['-73.59901'],['41.92815']
"Seiffert, Anton.","['1743', '1744', '1743', '1744', '1745', '1745', '1745']","['-73.59901', '-75.4999', '-73.59901', '-73.59901', '-73.59901', '-73.96514', '-73.59901']","['41.92815', '43.00035', '41.92815', '41.92815', '41.92815', '41.82787', '41.92815']"
"Seiffert, Anton; Bethlehem, Pa.",['1743'],['-73.59901'],['41.92815']
"Seiffert, Johannes.","['1754', '1754', '1754', '1754', '1754']","['-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031']","['40.86173', '40.86173', '40.86173', '40.86173', '40.86173']"
"Sensemann, Andreas, s. of Joachim and Anna Catharina (Ludwig), Sensemann.",['1743'],['-73.59901'],['41.92815']
"Sensemann, Anna Catharina.",['1752'],['-75.4999'],['43.00035']
"Sensemann, Anna Maria, m. n. Brucker, wife of Gottlob Sensemann.",['1781'],['-81.43428'],['40.3584']
"Sensemann, Anna Maria.","['1801', '1801', '1798', '1798']","['-73.26373', '-73.26373', '-81.45818', '-73.26373']","['41.14121', '41.14121', '39.41619', '41.14121']"
"Sensemann, Christian David.",['1785'],['-78.73031'],['40.86173']
"Sensemann, Christina.",['1762'],['-78.73031'],['40.86173']
"Sensemann, Gottlob, h. of Anna Maria, m. n. Brucker, Moravian missionary.","['1780', '1780', '1781', '1782', '1783', '1781']","['-81.43428', '-81.43428', '-83.04575', '-83.04575', '-83.04575', '-81.43428']","['40.3584', '40.3584', '42.33143', '42.33143', '42.33143', '40.3584']"
"Sensemann, Gottlob, missionary.","['1792', '1797', '1798', '1795', '1794', '1794', '1794', '1796', '1791', '1792', '1791', '1791', '1791', '1790', '1790', '1790', '1799', '1800', '1790', '1786', '1783', '1783', '1784', '1784', '1799', '1784', '1784', '1785', '1785', '1785']","['-83.04575', '-83.04575', '-79.66632', '-83.04575', '-83.04575', '-83.04575', '-83.04575', '-83.04575', '-83.04575', '-83.04575', '-82.8413', '-83.14986', '-83.14986', '-88.03679', '-82.54906', '-82.54906', '-73.32928', '-74.32432', '-82.54906', '-76.13161', '-83.04575', '-83.04575', '-83.04575', '-83.04575', '-83.04575', '-83.04575', '-74.96739', '-78.73031', '-83.04575', '-78.73031']","['42.33143', '42.33143', '43.60012', '42.33143', '42.33143', '42.33143', '42.33143', '42.33143', '42.33143', '42.33143', '41.47894', '42.04116', '42.04116', '46.90992', '41.3981', '41.3981', '41.84371', '41.40204', '41.3981', '40.36093', '42.33143', '42.33143', '42.33143', '42.33143', '42.33143', '42.33143', '40.91121', '40.86173', '42.33143', '40.86173']"
"Sensemann, Gottlob.","['1770', '1766', '1770', '1801', '1799', '1769', '1770']","['-80.01505', '-75.99689', '-76.40302', '-73.68706', '-74.32432', '-76.40302', '-78.73031']","['40.4434', '39.95483', '39.94677', '42.76091', '41.40204', '39.94677', '40.86173']"
"Sensemann, Heinrich, s. of Gottlob and Anna Maria (Brucker), Sensemann.","['1801', '1801']","['-73.26373', '-83.04575']","['41.14121', '42.33143']"
"Sensemann, Joachim, missionary.",['1743'],['-73.59901'],['41.92815']
"Sensemann, Joachim.","['1753', '1744', '1753', '1753', '1752', '1753', '1760', '1760', '1760', '1743', '1743', '1744', '1744', '1744', '1754', '1752', '1752', '1744', '1744', '1744', '1744', '1744', '1745', '1746', '1762', '1754', '1754', '1754', '1755', '1755', '1755', '1751', '1752', '1751', '1751', '1751', '1744', '1744', '1744', '1749', '1752', '1750', '1751', '1754', '1751', '1747', '1747', '1748']","['-73.74286', '-78.73031', '-73.42123', '-81.43428', '-78.73031', '-73.91264', '-78.73031', '-78.73031', '-78.73031', '-105.40102', '-75.4999', '-74.04986', '-86.98636', '-75.4999', '-78.73031', '-81.43428', '-81.43428', '-78.73031', '-73.59901', '-73.91264', '-73.91264', '-78.73031', '-73.59901', '-73.59901', '-78.73031', '-78.73031', '-78.73031', '-81.43428', '-81.43428', '-81.43428', '-81.43428', '-78.73031', '-81.43428', '-81.43428', '-81.43428', '-86.98636', '-73.59901', '-78.73031', '-73.92097', '-81.43428', '-75.4999', '-81.43428', '-75.4999', '-81.43428', '-72.83204', '-81.43428', '-78.73031', '-81.43428']","['41.76515', '40.86173', '41.98343', '40.3584', '40.86173', '41.92676', '40.86173', '40.86173', '40.86173', '53.05006', '43.00035', '42.35925', '45.27262', '43.00035', '40.86173', '40.3584', '40.3584', '40.86173', '41.92815', '41.92676', '41.92676', '40.86173', '41.92815', '41.92815', '40.86173', '40.86173', '40.86173', '40.3584', '40.3584', '40.3584', '40.3584', '40.86173', '40.3584', '40.3584', '40.3584', '45.27262', '41.92815', '40.86173', '41.70037', '40.3584', '43.00035', '40.3584', '43.00035', '40.3584', '41.71982', '40.3584', '40.86173', '40.3584']"
"Sergeant, minister; Westenhuc (""Sertschant"").",['1742'],['-73.59901'],['41.92815']
Shammel; North Carolina.,['1803'],['-74.32432'],['41.40204']
"Shaw, John or Richard.",['1798'],['-77.66638'],['40.12453']
"Shaw, Joseph, missionary.",['1743'],['-73.59901'],['41.92815']
"Shaw, Joseph.","['1744', '1744', '1744', '1744', '1744', '1744', '1744', '1744', '1744', '1744', '1744', '1744', '1743', '1743', '1743', '1743', '1744', '1743', '1747', '1743', '1746']","['-73.59901', '-73.59901', '-81.5654', '-73.91264', '-75.4999', '-73.59901', '-78.73031', '-73.92097', '-73.96514', '-78.73031', '-73.91264', '-74.04986', '-74.04986', '-74.04986', '-74.0282', '-73.59901', '-73.59901', '-73.40845', '-78.73031', '-73.59901', '-74.96739']","['41.92815', '41.92815', '39.73618', '41.92676', '43.00035', '41.92815', '40.86173', '41.70037', '41.82787', '40.86173', '41.92676', '42.35925', '42.35925', '42.35925', '40.69677', '41.92815', '41.92815', '41.57704', '40.86173', '41.92815', '40.91121']"
Shebosh.,"['1781', '1782']","['-79.99589', '-81.45818']","['40.44062', '39.41619']"
"Simcoe (Symcoe), John G., governor of Upper Canada.",['1793'],['-73.26373'],['41.14121']
"Simcoe, John Graves, lieutenant-governor.","['1798', '1798']","['-73.95347', '-79.06627']","['40.71427', '43.08342']"
"Smith (""Sahmit""), ------; Balings Kill, Pa.",['1754'],['-81.43428'],['40.3584']
"Smith, Andrew, trader.",['1748'],['-76.55885'],['40.78897']
"Smith, Assariah, Junior, Sicham, N.Y.",['1762'],['-78.73031'],['40.86173']
"Smith, Assariah, Junior, s. of Assariah and Mary (Dogget), Smith.",['1761'],['-73.42123'],['41.98343']
"Smith, Assariah.","['1761', '1763', '1755', '1761']","['-78.73031', '-78.73031', '-78.73031', '-78.73031']","['40.86173', '40.86173', '40.86173', '40.86173']"
"Smith, David William, major.",['1793'],['-73.26373'],['41.14121']
"Smith, Thomas.",['1799'],['-73.26373'],['41.14121']
"Smith, surveyor-general for Upper Canada (Thomas).",['1799'],['-73.26373'],['41.14121']
Smith.,['1787'],['-83.04575'],['42.33143']
"Soelle, George.","['1759', '1759', '1759']","['-72.09952', '-72.83204', '-105.40102']","['41.35565', '41.71982', '53.05006']"
"Spangenberg, August Gottlieb.","['1754', '1754', '1754', '1754', '1749', '1754', '1752', '1754', '1755', '1755', '1754', '1754', '1747', '1747', '1747', '1755', '1747', '1747', '1747', '1747', '1755', '1754', '1747', '1747', '1754', '1754', '1745', '1754', '1754', '1749', '1745', '1754', '1754', '1747', '1746', '1749', '1745', '1750', '1760', '1744', '1744', '1753', '1746', '1748', '1748', '1760', '1752', '1753', '1751', '1751', '1750', '1753', '1752', '1745', '1755', '1752', '1752', '1752', '1752', '1752', '1752', '1752', '1752', '1752', '1752', '1752', '1755', '1752', '1748', '1748', '1748', '1748', '1748', '1762', '1765', '1748', '1755', '1751', '1754', '1755', '1755', '1755', '1755']","['-81.43428', '-78.73031', '-81.43428', '-78.73031', '-75.16362', '-81.43428', '-81.43428', '-81.43428', '-81.43428', '-75.4999', '-81.43428', '-81.43428', '-81.43428', '-75.16362', '-81.43428', '-75.4999', '-81.43428', '-81.43428', '-78.73031', '-81.43428', '-76.55885', '-86.98636', '-75.52935', '-81.43428', '-81.43428', '-81.43428', '-73.59901', '-78.73031', '-81.43428', '-81.43428', '-73.59901', '-81.43428', '-81.43428', '-81.43428', '-73.59901', '-75.16362', '-73.59901', '-81.43428', '-80.00032', '-73.59901', '-73.59901', '-80.00032', '-76.55885', '-81.43428', '-81.43428', '-80.00032', '-105.63666', '-86.52774', '-89.12368', '-86.98636', '-81.43428', '-76.55885', '-76.55885', '-75.16362', '-78.73031', '-78.73031', '-81.43428', '-81.43428', '-81.43428', '-81.43428', '-75.92687', '-76.00492', '-81.43428', '-78.73031', '-81.43428', '-81.43428', '-81.43428', '-73.40845', '-77.44675', '-77.44675', '-81.43428', '-77.44675', '-81.43428', '-86.98636', '14.74381', '-81.43428', '-81.43428', '-86.98636', '-78.73031', '-81.43428', '-81.43428', '-81.43428', '-81.43428']","['40.3584', '40.86173', '40.3584', '40.86173', '39.95238', '40.3584', '40.3584', '40.3584', '40.3584', '43.00035', '40.3584', '40.3584', '40.3584', '39.95238', '40.3584', '43.00035', '40.3584', '40.3584', '40.86173', '40.3584', '40.78897', '45.27262', '40.30288', '40.3584', '40.3584', '40.3584', '41.92815', '40.86173', '40.3584', '40.3584', '41.92815', '40.3584', '40.3584', '40.3584', '41.92815', '39.95238', '41.92815', '40.3584', '35.50069', '41.92815', '41.92815', '35.50069', '40.78897', '40.3584', '40.3584', '35.50069', '41.47747', '31.24073', '37.13838', '45.27262', '40.3584', '40.78897', '40.78897', '39.95238', '40.86173', '40.86173', '40.3584', '40.3584', '40.3584', '40.3584', '40.33565', '41.20536', '40.3584', '40.86173', '40.3584', '40.3584', '40.3584', '41.57704', '37.54812', '37.54812', '40.3584', '37.54812', '40.3584', '45.27262', '51.01624', '40.3584', '40.3584', '45.27262', '40.86173', '40.3584', '40.3584', '40.3584', '40.3584']"
"Spangenberg, Eva Maria.","['1748', '1748', '1749', '1747', '1747', '1747', '1747', '1747', '1748', '1752']","['-81.43428', '-78.73031', '-81.43428', '-78.73031', '-81.43428', '-75.52935', '-81.43428', '-78.73031', '-81.43428', '14.74381']","['40.3584', '40.86173', '40.3584', '40.86173', '40.3584', '40.30288', '40.3584', '40.86173', '40.3584', '51.01624']"
"Spangenberg, Martha Elisabeth, former Micksch, m. n. Jaehne, 2nd w. Aug. Spangenberg.",['1754'],['-81.43428'],['40.3584']
"Spangenberg, Martha Elisabeth.","['1755', '1755', '1754']","['-81.43428', '-78.73031', '-78.73031']","['40.3584', '40.86173', '40.86173']"
"Sperbach, Johanna Rebecca; Bethlehem.",['1753'],['-81.43428'],['40.3584']
"Springer, captain.",['1812'],['-73.26373'],['41.14121']
"St. John, al. John Baptiste Rousseau.",['1798'],['-80.01194'],['43.20917']
"Stanbury, dr.; New York.",['1801'],['-74.32432'],['41.40204']
"Stauber (""Straube""), Paul Christian; Bethlehem.","['1754', '1755']","['-81.43428', '-81.43428']","['40.3584', '40.3584']"
"Stautenberg, captain.",['1745'],['-73.59901'],['41.92815']
"Steiner, Abraham; Christiansbrunn.","['1753', '1753', '1753']","['-81.43428', '-81.43428', '-78.73031']","['40.3584', '40.3584', '40.86173']"
Steinmetz; New York.,['1746'],['-74.0282'],['40.69677']
"Steinor, Abraham.","['1801', '1789', '1789']","['-73.26373', '-82.54906', '-76.40302']","['41.14121', '41.3981', '39.94677']"
"Stevens, farmer; Susquehanna Valley.",['1798'],['-75.61602'],['40.73454']
"Stevens, trader; Petquotting.","['1806', '1807']","['-74.32432', '-74.32432']","['41.40204', '41.40204']"
"Stonehouse, George; Islington, England.",['1744'],['-75.30962'],['40.74038']
"Strahl -----; Carbon Co., Pa.","['1748', '1748']","['-81.43428', '-75.20434']","['40.3584', '40.68899']"
Strahl.,['1748'],['-81.43428'],['40.3584']
"Streit, Friedrich; Rhinebeck, N.Y.",['1742'],['-73.59901'],['41.92815']
"Sturgis (al. Sturges), Joseph; Bethlehem.","['1755', '1755', '1755']","['-81.43428', '-81.43428', '-78.73031']","['40.3584', '40.3584', '40.86173']"
"Sydrich, Johann Daniel, Moravian minister.",['1777'],['-75.16362'],['39.95238']
"Sydrich, Johann Daniel, Moravian.",['1789'],['-77.38165'],['39.61427']
"Sydrich, Johann Daniel; Bethlehem.",['1753'],['-78.73031'],['40.86173']
"Tanneberger, David; Nazareth.",['1753'],['-81.43428'],['40.3584']
"Tennent, Gilbert, Presbyterian clergyman; Philadelphia, Pa.",['1743'],['-105.40102'],['53.05006']
"Thomas, John; Bethlehem.",['1754'],['-81.43428'],['40.3584']
"Thomson, Charles, secretary of Congress; Philadelphia, Pa.",['1782'],['-81.43428'],['40.3584']
"Thorp, Edward.",['1772'],['-81.43428'],['40.3584']
"Thrane, Amadeus Paulinus; Bethlehem.",['1764'],['-75.16362'],['39.95238']
"Till, Jacob; Bethlehem.",['1753'],['-81.43428'],['40.3584']
"Toellner, Christian Friedrich; Bethlehem.",['1753'],['-78.73031'],['40.86173']
"Toeltschig, Johann.","['1753', '1753']","['-86.98636', '-89.12368']","['45.27262', '37.13838']"
"Toeltschig, Johann; Bethlehem, Pa.",['1753'],['-75.4999'],['43.00035']
"Toeltschig, Johann; Bethlehem.","['1752', '1753']","['-81.43428', '-81.43428']","['40.3584', '40.3584']"
"Transou, Philip.","['1750', '1751', '1750', '1750', '1748', '1748', '1748', '1748', '1748', '1749', '1749', '1754', '1752', '1752', '1752', '1752', '1752', '1751', '1751', '1751']","['-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-81.43428', '-78.73031', '-78.73031', '-81.43428', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-75.20434', '-78.73031', '-78.73031']","['40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.3584', '40.86173', '40.86173', '40.3584', '40.86173', '40.86173', '40.86173', '40.86173', '40.68899', '40.86173', '40.86173']"
"Transou, Philip; Bethlehem.","['1748', '1748', '1748']","['-81.43428', '-78.73031', '-78.73031']","['40.3584', '40.86173', '40.86173']"
"Travis, Francis, Methodist minister.",['1811'],['-74.32432'],['41.40204']
"Tritt, Presbyterian minister; Dover, New York.",['1744'],['-73.92097'],['41.70037']
"Tschudi, Matthew, from Lititz.",['1803'],['-74.32432'],['41.40204']
"Tschudy, Catherine, w. Martin Tschudy.",['1813'],['-74.32432'],['41.40204']
"Tschudy, John, Swiss.","['1806', '1807']","['-74.32432', '-81.44567']","['41.40204', '40.48979']"
"Tschudy, Martin, Swiss.",['1805'],['-74.32432'],['41.40204']
"Tschudy, Martin.",['1816'],['-74.32432'],['41.40204']
