place_name,alternate_names,admin_level_2,admin_level_1,admin_level_0,continent,notes,feature_type,ambigous_county
Harrison's Ferry,"['Harrisburg', 'Pennsylvania']",,PA,,,Harrisburg | Harris Ferry,,
Harsen's Island,[],,MI,,,mouth of St. Clair River,,
Hartford,[],,CT,,,,,
Havanna,['Awanna'],,,,,,,
Hebron,[],075,PA,,,,,
Heerandyk,[],,,,,Holland,,
Heidelberg,[],011,PA,,,,,
Heller's Tavern,[],,,,,,,
Helltown,[],,OH,,,Walhending River,,
Hernhag,[],,,DE,,,,
Herrnbaag,[],,,DE,,,,
Herrnhut,[],,,DE,,,,
Hessen-Kassel,[],,,DE,,,,
Hickory Tavern,[],,NJ,,,,,
High Lands,[],,NY,,,Orange and Putnam Cos.,,
Hockhooking Creek and Town,['Kockhocking'],,,,,,H,
Hocking River,[],,,,,tribut. of Ohio River,H,
Hokendaugua Creek,[],095,PA,,,,H,
Hokhokunk,['probably Hockhocking'],,,,,,,
Holland,[],,,,,,,
Holsbon River,[],,TN,,,,H,
Honeywint,[],,,,,,,
Hope,[],,NJ,,,,,
Hope,[],,NC,,,,,
Hope,['Hoop'],,,SR,,,,
Hope's Cove,['South?'],,,,,Lake Erie & Lake Erie | anchoring place on Bass Island,,
Hopedale,[],,,,,Labrador,,
Horn River,['Eskenne'],,,,,,H,
Horseshoe Fall,[],,08,,,Niagara River,,
Housatonic River,[],,CT,,,,H,
Hudson,[],153,OH,,,,,
Hudson,[],,,,,,,
Hudson Bay,[],,,,,,H,
Hudson River,['North River'],,NY,,,,H,
Humber River,[],,08,,,,H,
Hunt's Ferry,[],131,PA,,,Falls,,
Hurley,[],111,NY,,,,,
Huron Point,['Clinton'],,MI,,,mouth of Huron River,S,
Huron River,['Petquotting River'],,,,,O,H,
Huron River,['Petquotting'],163,MI,,,at Detroit River estuary & O & now Clinton River,H,
Huron River,"['al', 'Petquotting']",,OH,,,,H,
Huron River,['Clinton'],,MI,,,,H,
Huron River Macomb County,['Clinton River'],,MI,,,,H,
Huron Straits,['Straights'],,08,,,near mouth of St. Clair River,,
Hutberg,[],,,DE,,hill near Herrnhut,,
Illinois,[],,IL,,,,,
Illinois River,[],,,,,,H,
Indiana Territory,[],,,,,,L,
Industry,[],,OH,,,place on Mahony Creek,,
Irish settlement,[],,,,,probably Indiana,,
Irish settlement,[],095,PA,,,Allen Township,,
Islington,[],,,,,England,,
Jack Creek,[],,PA,,,possibly Youghidgheny River,H,
Jackson's Tavern,[],,NY,,,place between Goshen and Kingston,,
Jacob's Heights,['Jacobshuh'],097,PA,,,Lower Augusta Township,,
Jahannis Ruh,[],,PA,,,Carbon or Luzerne County,,
Jamaica,[],,,JM,,West Indies,,
Jefferson County,[],081,OH,,,,,
Jena,[],,,DE,,,,
Jenky Hall,[],,,,,Detroit,,
Jequaminische,[],,,,,,,
Jerome's Town,[],,,,,Ohio,,Ashland County
Jersey,['The Jerseys'],,,JE,,,,
Johnson's Hall,[],,NY,,,north side of Mohawk River | place between Fort Hunter and Fort Plain,,
Johnson's Harbor,"['probably Kuckville', 'New York']",,,,,,,
Jongquakamik,[],,,,,,,
Jongquakamik Landing,[],,08,,,,,
Jongquakamik River,['East Sydenham'],,08,,,,H,
Juniata Crossings,[],009,PA,,,,,
Juniata River,[],,PA,,,Tachochniato,H,
K'takanstschau,[],027,NY,,,the Big Mountain,,
Kaek ke la muk paechung,[],,,,,Town and Creek | Kekelamukpechung | Kekelamukpechen,,
Kajakistown,[],,08,,,,,
Kanawha River,['Canhawa'],,WV,,,,H,
Kanawha River West Virginia,['Kashaway'],,,,,,H,
Kaniseraga,[],051,NY,,,Ganaeraga Creek,,
Kantanienberg,[],,,,,,,
